,District,Sub-District,Vaccination Site Name,Type of site,Pfizer or J&J,Start Date,Site Active (Yes/No),Open Days per week,Capacity per day
19,O Tambo DM,King Sabata Dalindyebo LM,ec Sakhela Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
20,O Tambo DM,King Sabata Dalindyebo LM,ec Sitebe Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
21,Buffalo City MM,Buffalo City SD,ec Welcomewood Clinic,Clinic,Pfizer,6/28/2021,Yes,5 days,40.0
22,Buffalo City MM,Buffalo City SD,ec Zanempilo Clinic (East London),Clinic,Pfizer,5/27/2021,Yes,5 days,40.0
23,Buffalo City MM,Buffalo City SD,ec Zanempilo Clinic (Zwelitsha),Clinic,Pfizer,6/29/2021,Yes,5 days,40.0
24,Buffalo City MM,Buffalo City SD,ec Zikhova Clinic,Clinic,Pfizer,6/11/2021,Yes,5 days,40.0
25,Amathole DM,Raymond Mhlaba LM,ec Mgwalana Clinic,Clinic,J&J,7/27/2021,To start next week,5 days,40.0
26,A Nzo DM,Matatiele LM,ec Matatiele Community Clinic,Clinic,Pfizer,7/19/2021,To start next week,5 days,80.0
27,A Nzo DM,Matatiele LM,ec Mount Hargreaves Clinic,Clinic,J&J,7/19/2021,To start next week,5 days,40.0
28,A Nzo DM,Matatiele LM,ec Rolweni Clinic,Clinic,J&J,7/26/2021,To start next week,5 days,40.0
29,A Nzo DM,Matatiele LM,ec Nyaniso Clinic,Clinic,J&J,7/26/2021,To start next week,5 days,40.0
30,A Nzo DM,Matatiele LM,ec Mvenyane Clinic,Clinic,J&J,7/26/2021,To start next week,5 days,40.0
31,A Nzo DM,Matatiele LM,ec Elukholweni Clinic,Clinic,J&J,7/26/2021,To start next week,5 days,40.0
32,O Tambo DM,King Sabata Dalindyebo LM,ec Hlabatshane Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
33,Amathole DM,Amahlathi LM,ec Mgwali Clinic,Clinic,J&J,6/23/2021,Yes,5 days,40.0
34,Amathole DM,Great Kei LM,ec Mooiplaas Clinic,Clinic,J&J,6/14/2021,Yes,5 days,40.0
35,Amathole DM,Mbhashe LM,ec Mpame Clinic,Clinic,J&J,7/21/2021,To start next week,5 days,40.0
36,Amathole DM,Mbhashe LM,ec Mpozolo Clinic,Clinic,J&J,7/27/2021,To start next week,5 days,40.0
37,Amathole DM,Mnquma LM,ec Mqambeli Clinic,Clinic,J&J,7/2/2020,Yes,5 days,40.0
38,Amathole DM,Mbhashe LM,ec Mqhele Clinic,Clinic,J&J,7/19/2021,To start next week,5 days,40.0
39,Amathole DM,Mbhashe LM,ec Msendo Clinic,Clinic,J&J,To be determined,To start next week,5 days,40.0
40,Amathole DM,Raymond Mhlaba LM,ec Msobomvu Clinic,Clinic,J&J,7/22/2021,To start next week,5 days,40.0
41,Amathole DM,Ngqushwa LM,ec Mtombe Clinic,Clinic,J&J,7/6/2020,Yes,5 days,40.0
42,Amathole DM,Ngqushwa LM,ec Mtyholo Clinic,Clinic,J&J,7/7/2020,Yes,5 days,40.0
43,Amathole DM,Raymond Mhlaba LM,ec Mxhelo Clinic,Clinic,J&J,7/6/2021,Yes,5 days,40.0
44,Amathole DM,Raymond Mhlaba LM,ec Mzamomhle Clinic (Bedford),Clinic,J&J,7/20/2021,To start next week,5 days,40.0
45,Amathole DM,Mnquma LM,ec Ncizele Clinic,Clinic,J&J,7/8/2020,Yes,5 days,40.0
46,Amathole DM,Ngqushwa LM,ec Ndwayana Clinic,Clinic,J&J,6/10/2021,Yes,5 days,40.0
47,Buffalo City MM,Buffalo City SD,ec Zingisa NU 5 Clinic,Clinic,Pfizer,5/17/2021,Yes,5 days,40.0
48,Amathole DM,Raymond Mhlaba LM,ec Newtown Clinic,Clinic,J&J,7/27/2021,To start next week,5 days,40.0
49,A Nzo DM,Umzimvubu LM,ec Mount Ayliff Gateway Clinic,Clinic,Pfizer,2021-07-19 00:00:00,To start next week,5 days,80.0
50,A Nzo DM,Umzimvubu LM,ec Dundee Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
51,A Nzo DM,Umzimvubu LM,ec Tela Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
52,A Nzo DM,Umzimvubu LM,ec Lubaleko Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
53,A Nzo DM,Ntabankulu LM,ec Mfundisweni Clinic,Clinic,J&J,2021-07-21 00:00:00,To start next week,5 days,40.0
54,A Nzo DM,Ntabankulu LM,ec Ntshentshe Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
55,A Nzo DM,Mbizana LM,ec Amantshangase Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
56,Sarah Baartman DM,Ndlambe LM,ec Port Alfred Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0
57,Sarah Baartman DM,Ndlambe LM,ec Station Hill Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0
58,Sarah Baartman DM,Ndlambe LM,ec Pal 2 Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0
59,Sarah Baartman DM,Ndlambe LM,ec Nkwenkwezi Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0
60,Sarah Baartman DM,Ndlambe LM,ec Pal 1 Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0
61,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Brug Straat Clinic (Jansenville),Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0
62,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Wongalethu Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0
63,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Baviaans Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0
64,Sarah Baartman DM,Makana LM,ec Anglo African Street Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0
65,Sarah Baartman DM,Makana LM,ec Middle Terrace Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0
66,Sarah Baartman DM,Makana LM,ec Raglan Road Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0
67,Sarah Baartman DM,Makana LM,ec Virginia Shumane Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0
68,Sarah Baartman DM,Makana LM,ec Joza Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0
69,Sarah Baartman DM,Makana LM,ec NG Dlukulu Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0
70,Sarah Baartman DM,Makana LM,ec Raymond Mhlaba Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0
71,Sarah Baartman DM,Makana LM,ec Kwa-Nonzwakazi Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0
72,Sarah Baartman DM,Ndlambe LM,ec Alexandria Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0
73,Sarah Baartman DM,Ndlambe LM,ec Kwa-Nonqubela Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0
74,A Nzo DM,Ntabankulu LM,ec Matubeni Clinic,Clinic,J&J,2021-07-21 00:00:00,To start next week,5 days,40.0
75,O Tambo DM,Mhlontlo LM,ec Mdyobe Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0
76,A Nzo DM,Ntabankulu LM,ec Dungu Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
77,O Tambo DM,Mhlontlo LM,ec Mbalisweni Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0
78,O Tambo DM,Mhlontlo LM,ec Tina Falls Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0
79,O Tambo DM,Ingquza Hill LM,ec Mantlaneni Clinic,Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0
80,O Tambo DM,Mhlontlo LM,ec Ngwemnyama Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0
81,Amathole DM,Mnquma LM,ec Ngqusi Clinic,Clinic,J&J,2020-07-12 00:00:00,Yes,5 days,40.0
82,Amathole DM,Ngqushwa LM,ec Nier Clinic,Clinic,J&J,2021-06-21 00:00:00,Yes,5 days,40.0
83,Amathole DM,Raymond Mhlaba LM,ec Njwaxa Clinic,Clinic,J&J,2021-07-27 00:00:00,To start next week,5 days,40.0
84,Amathole DM,Mbhashe LM,ec Nkanya Clinic,Clinic,J&J,2021-07-12 00:00:00,Yes,5 days,40.0
85,Amathole DM,Ngqushwa LM,ec Norah Clinic,Clinic,J&J,2021-06-15 00:00:00,Yes,5 days,40.0
86,Amathole DM,Mnquma LM,ec Nozuko Clinic,Clinic,J&J,2020-07-02 00:00:00,Yes,5 days,40.0
87,Amathole DM,Mbhashe LM,ec Nqabara Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
88,Amathole DM,Mbhashe LM,ec Nqabeni Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0
89,Buffalo City MM,Buffalo City SD,ec Zwelitsha Zone 5 Clinic,Clinic,Pfizer,2021-05-18 00:00:00,Yes,5 days,40.0
90,Amathole DM,Mbhashe LM,ec Nqadu Clinic (Mbhashe),Clinic,J&J,2021-06-30 00:00:00,Yes,5 days,40.0
91,Amathole DM,Amahlathi LM,ec Ntaba ka Ndoda Clinic,Clinic,J&J,2021-06-17 00:00:00,Yes,5 days,40.0
92,O Tambo DM,Nyandeni LM,ec St Barnabas Gateway Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0
93,O Tambo DM,Nyandeni LM,ec Mampondomiseni Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0
94,O Tambo DM,Nyandeni LM,ec Libode Clinic,Clinic,J&J,2021-06-07 00:00:00,Yes,5 days,40.0
95,O Tambo DM,Nyandeni LM,ec Nontsikelelo Biko Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0
96,O Tambo DM,Nyandeni LM,ec Mgwenyane Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0
97,O Tambo DM,Nyandeni LM,ec Nkanga Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0
98,O Tambo DM,Nyandeni LM,ec Old Bunting Clinic,Clinic,J&J,2021-06-07 00:00:00,Yes,5 days,40.0
99,O Tambo DM,Nyandeni LM,ec Ndanya Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0
100,O Tambo DM,Nyandeni LM,ec Cwele Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0
101,O Tambo DM,Nyandeni LM,ec Maqanyeni Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0
102,O Tambo DM,Nyandeni LM,ec Nyandeni Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0
103,O Tambo DM,Nyandeni LM,ec Double Falls Clinic,Clinic,J&J,2021-06-07 00:00:00,Yes,5 days,40.0
104,O Tambo DM,Nyandeni LM,ec Mangcwanguleni Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0
105,O Tambo DM,Ingquza Hill LM,ec St Elizabeth's Gateway Clinic,Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0
106,O Tambo DM,Ingquza Hill LM,ec Lusikisiki Village Clinic (Qaukeni),Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0
107,O Tambo DM,Port St Johns LM,ec Mzintlava Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0
108,O Tambo DM,Ingquza Hill LM,ec Palmerton Clinic,Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0
109,O Tambo DM,Ingquza Hill LM,ec Magwa Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
110,O Tambo DM,Ingquza Hill LM,ec KTC Clinic,Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0
111,O Tambo DM,Ingquza Hill LM,ec Mpoza Clinic (Lusikisiki),Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0
112,O Tambo DM,Ingquza Hill LM,ec Malangeni Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
113,O Tambo DM,Ingquza Hill LM,ec Xurana Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
114,O Tambo DM,Port St Johns LM,ec Buchele Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0
115,O Tambo DM,Ingquza Hill LM,ec Mbotyi Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
116,O Tambo DM,Ingquza Hill LM,ec Khanyayo (Holy Cross) Clinic,Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0
117,Joe Gqabi DM,Walter Sisulu LM,ec Poly Clinic,Clinic,J&J,2021-05-17 00:00:00,Yes,5 days,80.0
118,Joe Gqabi DM,Walter Sisulu LM,ec Aliwal North Block H Clinic,Clinic,J&J,2021-06-09 00:00:00,Yes,5 days,80.0
119,O Tambo DM,Mhlontlo LM,ec St Lucy's Gateway Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0
120,O Tambo DM,Mhlontlo LM,ec Ezingcuka Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0
121,Joe Gqabi DM,Elundini LM,ec St Augustine's Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0
122,O Tambo DM,Mhlontlo LM,ec Langeni Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0
123,Joe Gqabi DM,Elundini LM,ec Ngxaza Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0
124,O Tambo DM,Mhlontlo LM,ec Mjika Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0
125,O Tambo DM,Mhlontlo LM,ec Mhlahlane Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0
126,Joe Gqabi DM,Elundini LM,ec Queen Noti Clinic,Clinic,J&J,2021-07-09 00:00:00,Yes,5 days,80.0
127,Joe Gqabi DM,Elundini LM,ec Ncembu Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0
128,Joe Gqabi DM,Elundini LM,ec Umnga Flats Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0
129,C Hani DM,Engcobo LM,ec Mgudu Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0
130,A Nzo DM,Mbizana LM,ec St Patrick's Gateway Clinic,Clinic,Pfizer,2021-07-19 00:00:00,To start next week,5 days,40.0
131,A Nzo DM,Mbizana LM,ec Qasa Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
132,A Nzo DM,Mbizana LM,ec Imizizi Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
133,A Nzo DM,Mbizana LM,ec Tsawana Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
134,A Nzo DM,Mbizana LM,ec Isikelo Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
135,A Nzo DM,Mbizana LM,ec Hlamandana Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
136,A Nzo DM,Mbizana LM,ec Mpetsheni Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
137,A Nzo DM,Mbizana LM,ec Ndela Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
138,A Nzo DM,Mbizana LM,ec Qobo Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
139,A Nzo DM,Mbizana LM,ec Mfundambini Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
140,A Nzo DM,Mbizana LM,ec Meje Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
141,A Nzo DM,Mbizana LM,ec Kanyayo (Bizana) Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
142,A Nzo DM,Mbizana LM,ec Daliwonga Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
143,A Nzo DM,Mbizana LM,ec Amandengane Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
144,C Hani DM,Enoch Mgijima LM,ec Sterkstroom Clinic,Clinic,Pfizer,2021-07-12 00:00:00,Yes,5 days,80.0
145,C Hani DM,Enoch Mgijima LM,ec Masakhe Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0
146,Joe Gqabi DM,Walter Sisulu LM,ec Khayamnandi Clinic,Clinic,J&J,2021-05-25 00:00:00,Yes,5 days,80.0
147,C Hani DM,Enoch Mgijima LM,ec Eluxolweni Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0
148,C Hani DM,Enoch Mgijima LM,ec Hofmeyer Clinic,Clinic,Pfizer,2021-07-19 00:00:00,To start next week,5 days,80.0
149,Joe Gqabi DM,Walter Sisulu LM,ec Venterstad Clinic,Clinic,J&J,2021-05-26 00:00:00,Yes,5 days,80.0
150,Amathole DM,Mbhashe LM,ec Nyhwara Clinic,Clinic,J&J,2021-06-13 00:00:00,Yes,5 days,40.0
151,Amathole DM,Ngqushwa LM,ec Peddie Extension Clinic,Clinic,J&J,2021-06-15 00:00:00,Yes,5 days,40.0
152,Amathole DM,Raymond Mhlaba LM,ec Perksdale Clinic,Clinic,J&J,2021-07-09 00:00:00,Yes,5 days,40.0
153,Amathole DM,Amahlathi LM,ec Philani Clinic (King William's Town),Clinic,J&J,2021-06-15 00:00:00,Yes,5 days,40.0
154,Amathole DM,Ngqushwa LM,ec Pikholi Clinic,Clinic,J&J,2021-06-10 00:00:00,Yes,5 days,40.0
155,Sarah Baartman DM,Sundays River Valley LM,ec Kirkwood Clinic,Clinic,Pfizer,2020-07-05 00:00:00,Yes,5 days,80.0
156,Sarah Baartman DM,Sundays River Valley LM,ec Bergsig Clinic,Clinic,Pfizer,2020-07-22 00:00:00,To start next week,5 days,80.0
157,Sarah Baartman DM,Sundays River Valley LM,ec Moses Mabida Clinic,Clinic,Pfizer,2020-07-05 00:00:00,Yes,5 days,80.0
158,Sarah Baartman DM,Sundays River Valley LM,ec Lukhanyiso Clinic,Clinic,Pfizer,2020-07-05 00:00:00,Yes,5 days,80.0
159,Sarah Baartman DM,Sundays River Valley LM,ec Addo Clinic,Clinic,Pfizer,2020-07-05 00:00:00,Yes,5 days,80.0
160,Sarah Baartman DM,Sundays River Valley LM,ec Kwazenzele Clinic,Clinic,Pfizer,2020-07-05 00:00:00,Yes,5 days,80.0
161,Amathole DM,Raymond Mhlaba LM,ec Qibira Clinic,Clinic,J&J,2021-07-21 00:00:00,To start next week,5 days,40.0
162,Amathole DM,Mnquma LM,ec Qina Clinic,Clinic,J&J,2020-07-07 00:00:00,Yes,5 days,40.0
163,Amathole DM,Mbhashe LM,ec Qwaninga Clinic,Clinic,J&J,2021-07-25 00:00:00,To start next week,5 days,40.0
164,Amathole DM,Amahlathi LM,ec Rabula Clinic,Clinic,J&J,2021-06-22 00:00:00,Yes,5 days,40.0
165,O Tambo DM,King Sabata Dalindyebo LM,ec Centuli Clinic,Clinic,J&J,2021-06-16 00:00:00,Yes,5 days,40.0
166,Amathole DM,Ngqushwa LM,ec Robert Mbelekana Clinic,Clinic,J&J,2021-06-10 00:00:00,Yes,5 days,40.0
167,Amathole DM,Raymond Mhlaba LM,ec Rwarwa Clinic,Clinic,J&J,2021-07-21 00:00:00,To start next week,5 days,40.0
168,Amathole DM,Raymond Mhlaba LM,ec Sheshegu Clinic,Clinic,J&J,2021-07-22 00:00:00,To start next week,5 days,40.0
169,Amathole DM,Mbhashe LM,ec Soga Clinic,Clinic,J&J,2021-07-01 00:00:00,Yes,5 days,40.0
170,Amathole DM,Great Kei LM,ec Soto Clinic,Clinic,J&J,2021-06-07 00:00:00,Yes,5 days,40.0
171,Amathole DM,Amahlathi LM,ec St Matthew's Clinic,Clinic,J&J,2020-07-02 00:00:00,Yes,5 days,40.0
172,Amathole DM,Amahlathi LM,ec Stutterheim Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,40.0
173,Amathole DM,Mbhashe LM,ec Sundwana Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
174,Joe Gqabi DM,Elundini LM,ec Bethania Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0
175,Joe Gqabi DM,Elundini LM,ec Seqhobong Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0
176,Joe Gqabi DM,Elundini LM,ec Tayler Bequest Gateway Clinic (Elundini),Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0
177,Joe Gqabi DM,Elundini LM,ec Ulundi Clinic,Clinic,J&J,2021-07-19 00:00:00,Electricity problems,5 days,80.0
178,A Nzo DM,Matatiele LM,ec Isilindini Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
179,A Nzo DM,Matatiele LM,ec Umtumase Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
180,Joe Gqabi DM,Elundini LM,ec Kungisizwe Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0
181,Joe Gqabi DM,Elundini LM,ec Mangoloaneng Clinic,Clinic,J&J,2021-07-09 00:00:00,Yes,5 days,80.0
182,A Nzo DM,Umzimvubu LM,ec Machibini Clinic (Kwabhaca),Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
183,A Nzo DM,Umzimvubu LM,ec Luyengweni Clinic,Clinic,J&J,2021-07-30 00:00:00,To start next week,5 days,40.0
184,A Nzo DM,Matatiele LM,ec Paballong Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
185,Joe Gqabi DM,Elundini LM,ec Lower Tsitsana Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0
186,A Nzo DM,Matatiele LM,ec Thabachicha Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
187,A Nzo DM,Matatiele LM,ec Magadla Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
188,A Nzo DM,Matatiele LM,ec Shepherds Hope Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
189,A Nzo DM,Matatiele LM,ec Afsondering Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
190,A Nzo DM,Matatiele LM,ec Queen's Mercy Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
191,A Nzo DM,Matatiele LM,ec Likhetlane Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
192,A Nzo DM,Matatiele LM,ec Madlangala Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
193,A Nzo DM,Matatiele LM,ec Mzongwana Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0
194,A Nzo DM,Matatiele LM,ec Mpharane Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
195,Joe Gqabi DM,Senqu LM,ec Umlamli Gateway Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,80.0
196,Joe Gqabi DM,Senqu LM,ec Hillside Clinic (Senqu),Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,80.0
197,Joe Gqabi DM,Senqu LM,ec Musong Clinic,Clinic,J&J,2021-07-29 00:00:00,To start next week,5 days,80.0
198,Joe Gqabi DM,Senqu LM,ec Pelandaba Clinic,Clinic,J&J,2021-07-12 00:00:00,Yes,5 days,80.0
199,Joe Gqabi DM,Senqu LM,ec Palmietfontein Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,80.0
200,Amathole DM,Mbhashe LM,ec Taleni Clinic,Clinic,J&J,2021-07-13 00:00:00,Yes,5 days,40.0
201,Amathole DM,Raymond Mhlaba LM,ec Thozamile Madakana Clinic,Clinic,J&J,2021-07-27 00:00:00,To start next week,5 days,40.0
202,Amathole DM,Ngqushwa LM,ec Tyata Clinic,Clinic,J&J,2021-06-17 00:00:00,Yes,5 days,40.0
203,Amathole DM,Raymond Mhlaba LM,ec Upper Ncera Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0
204,Amathole DM,Mbhashe LM,ec Vukukhanye Gateway Clinic,Clinic,J&J,2021-06-21 00:00:00,Yes,5 days,40.0
205,Amathole DM,Raymond Mhlaba LM,ec War Memorial Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0
