,Unnamed: 0,District,Sub-District,Vaccination Site Name,Type of site,Pfizer or J&J,Start Date,Site Active (Yes/No),Open Days per week,Capacity per day,Latitude,Longitude,Municipality,DISTRICT_N,DISTRICT_C
20,20,O Tambo DM,King Sabata Dalindyebo LM,ec Sitebe Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.80785,28.49659,King Sabata Dalindyebo,O.R.Tambo,DC15
21,21,Buffalo City MM,Buffalo City SD,ec Welcomewood Clinic,Clinic,Pfizer,6/28/2021,Yes,5 days,40.0,-33.02567,27.51067,Buffalo City,Buffalo City,BUF
22,22,Buffalo City MM,Buffalo City SD,ec Zanempilo Clinic (East London),Clinic,Pfizer,5/27/2021,Yes,5 days,40.0,-33.01344,27.9042,Buffalo City,Buffalo City,BUF
23,23,Buffalo City MM,Buffalo City SD,ec Zanempilo Clinic (Zwelitsha),Clinic,Pfizer,6/29/2021,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Buffalo City,Buffalo City,BUF
24,24,Buffalo City MM,Buffalo City SD,ec Zikhova Clinic,Clinic,Pfizer,6/11/2021,Yes,5 days,40.0,-33.23092,27.47731,Buffalo City,Buffalo City,BUF
25,25,Amathole DM,Raymond Mhlaba LM,ec Mgwalana Clinic,Clinic,J&J,7/27/2021,To start next week,5 days,40.0,-32.59419,26.93739,Raymond Mhlaba,Amathole,DC12
26,26,A Nzo DM,Matatiele LM,ec Matatiele Community Clinic,Clinic,Pfizer,7/19/2021,To start next week,5 days,80.0,-30.25465,28.71224,Matatiele,Alfred Nzo,DC44
27,27,A Nzo DM,Matatiele LM,ec Mount Hargreaves Clinic,Clinic,J&J,7/19/2021,To start next week,5 days,40.0,-30.40515,28.70847,Matatiele,Alfred Nzo,DC44
28,28,A Nzo DM,Matatiele LM,ec Rolweni Clinic,Clinic,J&J,7/26/2021,To start next week,5 days,40.0,-30.55254,28.81915,Matatiele,Alfred Nzo,DC44
29,29,A Nzo DM,Matatiele LM,ec Nyaniso Clinic,Clinic,J&J,7/26/2021,To start next week,5 days,40.0,-30.57957,28.7571,Matatiele,Alfred Nzo,DC44
30,30,A Nzo DM,Matatiele LM,ec Mvenyane Clinic,Clinic,J&J,7/26/2021,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Matatiele,Alfred Nzo,DC44
31,31,A Nzo DM,Matatiele LM,ec Elukholweni Clinic,Clinic,J&J,7/26/2021,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Matatiele,Alfred Nzo,DC44
32,32,O Tambo DM,King Sabata Dalindyebo LM,ec Hlabatshane Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.76636,28.87017,King Sabata Dalindyebo,O.R.Tambo,DC15
33,33,Amathole DM,Amahlathi LM,ec Mgwali Clinic,Clinic,J&J,6/23/2021,Yes,5 days,40.0,-32.46382,27.60709,Amahlathi,Amathole,DC12
34,34,Amathole DM,Great Kei LM,ec Mooiplaas Clinic,Clinic,J&J,6/14/2021,Yes,5 days,40.0,-32.57658,27.89247,Great Kei,Amathole,DC12
35,35,Amathole DM,Mbhashe LM,ec Mpame Clinic,Clinic,J&J,7/21/2021,To start next week,5 days,40.0,-32.14504,28.41468,Mbhashe,Amathole,DC12
36,36,Amathole DM,Mbhashe LM,ec Mpozolo Clinic,Clinic,J&J,7/27/2021,To start next week,5 days,40.0,-32.1669,28.776,Mbhashe,Amathole,DC12
37,37,Amathole DM,Mnquma LM,ec Mqambeli Clinic,Clinic,J&J,7/2/2020,Yes,5 days,40.0,-32.42488,28.10009,Mnquma,Amathole,DC12
38,38,Amathole DM,Mbhashe LM,ec Mqhele Clinic,Clinic,J&J,7/19/2021,To start next week,5 days,40.0,-32.02223,28.89588,Mbhashe,Amathole,DC12
39,39,Amathole DM,Mbhashe LM,ec Msendo Clinic,Clinic,J&J,To be determined,To start next week,5 days,40.0,-32.17919,28.7752,Mbhashe,Amathole,DC12
40,40,Amathole DM,Raymond Mhlaba LM,ec Msobomvu Clinic,Clinic,J&J,7/22/2021,To start next week,5 days,40.0,-32.69786,26.8588,Raymond Mhlaba,Amathole,DC12
41,41,Amathole DM,Ngqushwa LM,ec Mtombe Clinic,Clinic,J&J,7/6/2020,Yes,5 days,40.0,-33.07088,27.32299,Ngqushwa,Amathole,DC12
42,42,Amathole DM,Ngqushwa LM,ec Mtyholo Clinic,Clinic,J&J,7/7/2020,Yes,5 days,40.0,-32.99203,27.35739,Ngqushwa,Amathole,DC12
43,43,Amathole DM,Raymond Mhlaba LM,ec Mxhelo Clinic,Clinic,J&J,7/6/2021,Yes,5 days,40.0,-32.77825,26.71968,Raymond Mhlaba,Amathole,DC12
44,44,Amathole DM,Raymond Mhlaba LM,ec Mzamomhle Clinic (Bedford),Clinic,J&J,7/20/2021,To start next week,5 days,40.0,-32.59419,26.93739,Raymond Mhlaba,Amathole,DC12
45,45,Amathole DM,Mnquma LM,ec Ncizele Clinic,Clinic,J&J,7/8/2020,Yes,5 days,40.0,-32.60569,28.43626,Mnquma,Amathole,DC12
46,46,Amathole DM,Ngqushwa LM,ec Ndwayana Clinic,Clinic,J&J,6/10/2021,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Ngqushwa,Amathole,DC12
47,47,Buffalo City MM,Buffalo City SD,ec Zingisa NU 5 Clinic,Clinic,Pfizer,5/17/2021,Yes,5 days,40.0,-32.91448,27.50426,Buffalo City,Buffalo City,BUF
48,48,Amathole DM,Raymond Mhlaba LM,ec Newtown Clinic,Clinic,J&J,7/27/2021,To start next week,5 days,40.0,-32.86592,27.04519,Raymond Mhlaba,Amathole,DC12
49,49,A Nzo DM,Umzimvubu LM,ec Mount Ayliff Gateway Clinic,Clinic,Pfizer,2021-07-19 00:00:00,To start next week,5 days,80.0,-30.8016,29.37104,Umzimvubu,Alfred Nzo,DC44
50,50,A Nzo DM,Umzimvubu LM,ec Dundee Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-30.90234,28.99333,Umzimvubu,Alfred Nzo,DC44
51,51,A Nzo DM,Umzimvubu LM,ec Tela Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-30.76518,29.45387,Umzimvubu,Alfred Nzo,DC44
52,52,A Nzo DM,Umzimvubu LM,ec Lubaleko Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-30.90234,28.99333,Umzimvubu,Alfred Nzo,DC44
53,53,A Nzo DM,Ntabankulu LM,ec Mfundisweni Clinic,Clinic,J&J,2021-07-21 00:00:00,To start next week,5 days,40.0,-30.90202,29.51849,Ntabankulu,Alfred Nzo,DC44
54,54,A Nzo DM,Ntabankulu LM,ec Ntshentshe Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-30.96109,29.30236,Ntabankulu,Alfred Nzo,DC44
55,55,A Nzo DM,Mbizana LM,ec Amantshangase Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-31.92743,27.34241,Mbizana,Alfred Nzo,DC44
56,56,Sarah Baartman DM,Ndlambe LM,ec Port Alfred Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0,-33.59087,26.88889,Ndlambe,Sarah Baartman,DC10
57,57,Sarah Baartman DM,Ndlambe LM,ec Station Hill Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0,-33.58727,26.90786,Ndlambe,Sarah Baartman,DC10
58,58,Sarah Baartman DM,Ndlambe LM,ec Pal 2 Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0,-33.66129,26.4257,Ndlambe,Sarah Baartman,DC10
59,59,Sarah Baartman DM,Ndlambe LM,ec Nkwenkwezi Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0,-33.57428,26.89037,Ndlambe,Sarah Baartman,DC10
60,60,Sarah Baartman DM,Ndlambe LM,ec Pal 1 Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0,-33.66077,26.42595,Ndlambe,Sarah Baartman,DC10
61,61,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Brug Straat Clinic (Jansenville),Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0,-28.996320724487305,25.087142944335938,Dr Beyers Naude,Sarah Baartman,DC10
62,62,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Wongalethu Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0,-33.3272,24.34468,Dr Beyers Naude,Sarah Baartman,DC10
63,63,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Baviaans Clinic,Clinic,J&J,2020-07-22 00:00:00,To start next week,5 days,80.0,-33.3272,24.34468,Dr Beyers Naude,Sarah Baartman,DC10
64,64,Sarah Baartman DM,Makana LM,ec Anglo African Street Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0,-33.3095,26.52445,Makana,Sarah Baartman,DC10
65,65,Sarah Baartman DM,Makana LM,ec Middle Terrace Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0,-33.29862,26.53746,Makana,Sarah Baartman,DC10
66,66,Sarah Baartman DM,Makana LM,ec Raglan Road Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0,-33.28762,26.57569,Makana,Sarah Baartman,DC10
67,67,Sarah Baartman DM,Makana LM,ec Virginia Shumane Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0,-33.20178,26.15605,Makana,Sarah Baartman,DC10
68,68,Sarah Baartman DM,Makana LM,ec Joza Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0,-33.20178,26.15605,Makana,Sarah Baartman,DC10
69,69,Sarah Baartman DM,Makana LM,ec NG Dlukulu Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0,-33.20178,26.15605,Makana,Sarah Baartman,DC10
70,70,Sarah Baartman DM,Makana LM,ec Raymond Mhlaba Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0,-32.59419,26.93739,Makana,Sarah Baartman,DC10
71,71,Sarah Baartman DM,Makana LM,ec Kwa-Nonzwakazi Clinic,Clinic,J&J,2020-07-26 00:00:00,To start next week,5 days,80.0,-28.996320724487305,25.087142944335938,Makana,Sarah Baartman,DC10
72,72,Sarah Baartman DM,Ndlambe LM,ec Alexandria Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0,-33.50144,26.82257,Ndlambe,Sarah Baartman,DC10
73,73,Sarah Baartman DM,Ndlambe LM,ec Kwa-Nonqubela Clinic,Clinic,J&J,2021-08-02 00:00:00,To start next week,5 days,80.0,-28.996320724487305,25.087142944335938,Ndlambe,Sarah Baartman,DC10
74,74,A Nzo DM,Ntabankulu LM,ec Matubeni Clinic,Clinic,J&J,2021-07-21 00:00:00,To start next week,5 days,40.0,-30.96109,29.30236,Ntabankulu,Alfred Nzo,DC44
75,75,O Tambo DM,Mhlontlo LM,ec Mdyobe Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0,-31.16141,28.86828,Mhlontlo,O.R.Tambo,DC15
76,76,A Nzo DM,Ntabankulu LM,ec Dungu Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-31.22052,29.20454,Ntabankulu,Alfred Nzo,DC44
77,77,O Tambo DM,Mhlontlo LM,ec Mbalisweni Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0,-31.16846,28.95979,Mhlontlo,O.R.Tambo,DC15
78,78,O Tambo DM,Mhlontlo LM,ec Tina Falls Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0,-31.21726,29.02623,Mhlontlo,O.R.Tambo,DC15
79,79,O Tambo DM,Ingquza Hill LM,ec Mantlaneni Clinic,Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Ngquza Hill,O.R.Tambo,DC15
80,80,O Tambo DM,Mhlontlo LM,ec Ngwemnyama Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0,-31.24061,28.99156,Mhlontlo,O.R.Tambo,DC15
81,81,Amathole DM,Mnquma LM,ec Ngqusi Clinic,Clinic,J&J,2020-07-12 00:00:00,Yes,5 days,40.0,-32.49195,28.40889,Mnquma,Amathole,DC12
82,82,Amathole DM,Ngqushwa LM,ec Nier Clinic,Clinic,J&J,2021-06-21 00:00:00,Yes,5 days,40.0,-33.31734,27.34098,Ngqushwa,Amathole,DC12
83,83,Amathole DM,Raymond Mhlaba LM,ec Njwaxa Clinic,Clinic,J&J,2021-07-27 00:00:00,To start next week,5 days,40.0,-32.59419,26.93739,Raymond Mhlaba,Amathole,DC12
84,84,Amathole DM,Mbhashe LM,ec Nkanya Clinic,Clinic,J&J,2021-07-12 00:00:00,Yes,5 days,40.0,-32.19318,28.92952,Mbhashe,Amathole,DC12
85,85,Amathole DM,Ngqushwa LM,ec Norah Clinic,Clinic,J&J,2021-06-15 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Ngqushwa,Amathole,DC12
86,86,Amathole DM,Mnquma LM,ec Nozuko Clinic,Clinic,J&J,2020-07-02 00:00:00,Yes,5 days,40.0,-32.50866,28.31928,Mnquma,Amathole,DC12
87,87,Amathole DM,Mbhashe LM,ec Nqabara Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-32.3302,28.79782,Mbhashe,Amathole,DC12
88,88,Amathole DM,Mbhashe LM,ec Nqabeni Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Mbhashe,Amathole,DC12
89,89,Buffalo City MM,Buffalo City SD,ec Zwelitsha Zone 5 Clinic,Clinic,Pfizer,2021-05-18 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Buffalo City,Buffalo City,BUF
90,90,Amathole DM,Mbhashe LM,ec Nqadu Clinic (Mbhashe),Clinic,J&J,2021-06-30 00:00:00,Yes,5 days,40.0,-32.21656,28.38549,Mbhashe,Amathole,DC12
91,91,Amathole DM,Amahlathi LM,ec Ntaba ka Ndoda Clinic,Clinic,J&J,2021-06-17 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Amahlathi,Amathole,DC12
92,92,O Tambo DM,Nyandeni LM,ec St Barnabas Gateway Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Nyandeni,O.R.Tambo,DC15
93,93,O Tambo DM,Nyandeni LM,ec Mampondomiseni Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Nyandeni,O.R.Tambo,DC15
94,94,O Tambo DM,Nyandeni LM,ec Libode Clinic,Clinic,J&J,2021-06-07 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Nyandeni,O.R.Tambo,DC15
95,95,O Tambo DM,Nyandeni LM,ec Nontsikelelo Biko Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0,-31.47298,28.90907,Nyandeni,O.R.Tambo,DC15
96,96,O Tambo DM,Nyandeni LM,ec Mgwenyane Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0,-31.5535,29.23402,Nyandeni,O.R.Tambo,DC15
97,97,O Tambo DM,Nyandeni LM,ec Nkanga Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0,-31.46602,29.17136,Nyandeni,O.R.Tambo,DC15
98,98,O Tambo DM,Nyandeni LM,ec Old Bunting Clinic,Clinic,J&J,2021-06-07 00:00:00,Yes,5 days,40.0,-31.67538,29.17161,Nyandeni,O.R.Tambo,DC15
99,99,O Tambo DM,Nyandeni LM,ec Ndanya Clinic,Clinic,J&J,2021-06-28 00:00:00,Yes,5 days,40.0,-31.47298,28.90907,Nyandeni,O.R.Tambo,DC15
100,100,O Tambo DM,Nyandeni LM,ec Cwele Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0,-31.67176,29.24012,Nyandeni,O.R.Tambo,DC15
101,101,O Tambo DM,Nyandeni LM,ec Maqanyeni Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Nyandeni,O.R.Tambo,DC15
102,102,O Tambo DM,Nyandeni LM,ec Nyandeni Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0,-31.47298,28.90907,Nyandeni,O.R.Tambo,DC15
103,103,O Tambo DM,Nyandeni LM,ec Double Falls Clinic,Clinic,J&J,2021-06-07 00:00:00,Yes,5 days,40.0,-31.59783,28.81343,Nyandeni,O.R.Tambo,DC15
104,104,O Tambo DM,Nyandeni LM,ec Mangcwanguleni Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Nyandeni,O.R.Tambo,DC15
105,105,O Tambo DM,Ingquza Hill LM,ec St Elizabeth's Gateway Clinic,Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0,-31.37272,29.59841,Ngquza Hill,O.R.Tambo,DC15
106,106,O Tambo DM,Ingquza Hill LM,ec Lusikisiki Village Clinic (Qaukeni),Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Ngquza Hill,O.R.Tambo,DC15
107,107,O Tambo DM,Port St Johns LM,ec Mzintlava Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0,-31.62244,29.54541,Port St Johns,O.R.Tambo,DC15
108,108,O Tambo DM,Ingquza Hill LM,ec Palmerton Clinic,Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0,-31.32081,29.48743,Ngquza Hill,O.R.Tambo,DC15
109,109,O Tambo DM,Ingquza Hill LM,ec Magwa Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Ngquza Hill,O.R.Tambo,DC15
110,110,O Tambo DM,Ingquza Hill LM,ec KTC Clinic,Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Ngquza Hill,O.R.Tambo,DC15
111,111,O Tambo DM,Ingquza Hill LM,ec Mpoza Clinic (Lusikisiki),Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0,-28.996320724487305,25.087142944335938,Ngquza Hill,O.R.Tambo,DC15
112,112,O Tambo DM,Ingquza Hill LM,ec Malangeni Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Ngquza Hill,O.R.Tambo,DC15
113,113,O Tambo DM,Ingquza Hill LM,ec Xurana Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Ngquza Hill,O.R.Tambo,DC15
114,114,O Tambo DM,Port St Johns LM,ec Buchele Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0,-31.62244,29.54541,Port St Johns,O.R.Tambo,DC15
115,115,O Tambo DM,Ingquza Hill LM,ec Mbotyi Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-28.996320724487305,25.087142944335938,Ngquza Hill,O.R.Tambo,DC15
116,116,O Tambo DM,Ingquza Hill LM,ec Khanyayo (Holy Cross) Clinic,Clinic,J&J,2021-07-05 00:00:00,Yes,5 days,40.0,-31.14729,29.67526,Ngquza Hill,O.R.Tambo,DC15
117,117,Joe Gqabi DM,Walter Sisulu LM,ec Poly Clinic,Clinic,J&J,2021-05-17 00:00:00,Yes,5 days,80.0,-30.6953,25.77361,Walter Sisulu,Joe Gqabi,DC14
118,118,Joe Gqabi DM,Walter Sisulu LM,ec Aliwal North Block H Clinic,Clinic,J&J,2021-06-09 00:00:00,Yes,5 days,80.0,-28.996320724487305,25.087142944335938,Walter Sisulu,Joe Gqabi,DC14
119,119,O Tambo DM,Mhlontlo LM,ec St Lucy's Gateway Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0,-31.30972,28.64091,Mhlontlo,O.R.Tambo,DC15
120,120,O Tambo DM,Mhlontlo LM,ec Ezingcuka Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0,-31.16141,28.86828,Mhlontlo,O.R.Tambo,DC15
121,121,Joe Gqabi DM,Elundini LM,ec St Augustine's Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0,-31.22309,28.59591,Elundini,Joe Gqabi,DC14
122,122,O Tambo DM,Mhlontlo LM,ec Langeni Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0,-31.47555,28.46518,Mhlontlo,O.R.Tambo,DC15
123,123,Joe Gqabi DM,Elundini LM,ec Ngxaza Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0,-31.17761,28.50244,Elundini,Joe Gqabi,DC14
124,124,O Tambo DM,Mhlontlo LM,ec Mjika Clinic,Clinic,J&J,2021-06-23 00:00:00,Yes,5 days,40.0,-31.43422,28.63441,Mhlontlo,O.R.Tambo,DC15
125,125,O Tambo DM,Mhlontlo LM,ec Mhlahlane Clinic,Clinic,J&J,2021-07-20 00:00:00,To start next week,5 days,40.0,-31.42196,28.54524,Mhlontlo,O.R.Tambo,DC15
126,126,Joe Gqabi DM,Elundini LM,ec Queen Noti Clinic,Clinic,J&J,2021-07-09 00:00:00,Yes,5 days,80.0,-31.16595,28.48448,Elundini,Joe Gqabi,DC14
127,127,Joe Gqabi DM,Elundini LM,ec Ncembu Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0,-31.39383,28.4043,Elundini,Joe Gqabi,DC14
128,128,Joe Gqabi DM,Elundini LM,ec Umnga Flats Clinic,Clinic,J&J,2021-07-19 00:00:00,Active on 19th,5 days,80.0,-31.43602,28.36907,Elundini,Joe Gqabi,DC14
129,129,C Hani DM,Engcobo LM,ec Mgudu Clinic,Clinic,Pfizer,2021-07-26 00:00:00,To start next week,5 days,80.0,-31.78672,28.28697,Engcobo,Chris Hani,DC13
130,130,A Nzo DM,Mbizana LM,ec St Patrick's Gateway Clinic,Clinic,Pfizer,2021-07-19 00:00:00,To start next week,5 days,40.0,-33.95533,25.61262,Mbizana,Alfred Nzo,DC44
131,131,A Nzo DM,Mbizana LM,ec Qasa Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-31.27477,29.30239,Mbizana,Alfred Nzo,DC44
132,132,A Nzo DM,Mbizana LM,ec Imizizi Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-31.92743,27.34241,Mbizana,Alfred Nzo,DC44
133,133,A Nzo DM,Mbizana LM,ec Tsawana Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-30.80695,29.91313,Mbizana,Alfred Nzo,DC44
134,134,A Nzo DM,Mbizana LM,ec Isikelo Clinic,Clinic,J&J,2021-07-19 00:00:00,To start next week,5 days,40.0,-31.92743,27.34241,Mbizana,Alfred Nzo,DC44
135,135,A Nzo DM,Mbizana LM,ec Hlamandana Clinic,Clinic,J&J,2021-07-26 00:00:00,To start next week,5 days,40.0,-31.92743,27.34241,Mbizana,Alfred Nzo,DC44
