ADM0_EN,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,YEAR,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80PLUS,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80PLUS,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80PLUS,,,,,,,,,,,
SOUTH AFRICA,ZA,FREE STATE,ZA4,MANGAUNG,ZA494,2020,421460,405161,826621,36492,37605,34692,35194,37639,36570,38490,33990,27405,21686,18872,17003,15230,11988,8468,5752,4384,36206,37443,34657,34295,37350,36718,41188,35063,28588,21238,16820,13622,11420,8826,5615,3643,2469,72698,75048,69349,69489,74989,73288,79678,69053,55993,42924,35692,30625,26650,20814,14083,9395,6853,,,,,,,,,,,
SOUTH AFRICA,ZA,FREE STATE,ZA4,THABO MOFUTSANYANE,ZA419,2020,351109,311720,662829,33163,36626,33941,30651,27617,28255,30207,24918,20184,17031,15126,14624,12752,9940,7099,5046,3929,32924,36310,33463,30758,25127,23950,26251,22491,18015,14883,11895,10543,9111,6923,4263,2843,1970,66087,72936,67404,61409,52744,52205,56458,47409,38199,31914,27021,25167,21863,16863,11362,7889,5899,,,,,,,,,,,
SOUTH AFRICA,ZA,FREE STATE,ZA4,XHARIEP,ZA416,2020,52825,52934,105759,5033,5621,5020,4291,3922,3987,4331,3943,3184,2584,2299,2236,2101,1550,1275,830,618,5042,5513,4986,4297,4072,4274,4837,4153,3481,2789,2270,2022,1825,1383,984,602,404,10075,11134,10006,8588,7994,8261,9168,8096,6665,5373,4569,4258,3926,2933,2259,1432,1022,,,,,,,,,,,
SOUTH AFRICA,ZA,GAUTENG,ZA7,CITY OF JOHANNESBURG,ZA798,2020,2716378,2824349,5540727,231480,202744,182536,176163,255277,319486,333179,251674,177815,135981,118133,102693,82680,59472,40561,25798,20706,234535,202892,176203,168893,245840,325729,379307,309406,220072,155624,116646,95526,74550,52097,32303,20220,14506,466015,405636,358739,345056,501117,645215,712486,561080,397887,291605,234779,198219,157230,111569,72864,46018,35212,,,,,,,,,,,
SOUTH AFRICA,ZA,GAUTENG,ZA7,CITY OF TSHWANE,ZA799,2020,1793191,1834795,3627986,146384,134774,123812,127002,172902,189419,198616,161150,121569,94871,81757,69623,57546,46123,30982,19826,16835,147247,133923,122287,122181,165580,190593,218189,186964,143769,106509,83561,68867,53239,39725,25066,16140,10955,293631,268697,246099,249183,338482,380012,416805,348114,265338,201380,165318,138490,110785,85848,56048,35966,27790,,,,,,,,,,,
SOUTH AFRICA,ZA,GAUTENG,ZA7,EKURHULENI,ZA797,2020,1792986,1946667,3739653,160182,143413,132603,124812,162328,196615,204888,161279,117678,92581,79383,68041,54361,40578,26371,16017,11856,161178,143525,130316,121246,163063,213469,251547,208582,153139,112614,85260,69866,52979,36940,22084,12941,7918,321360,286938,262919,246058,325391,410084,456435,369861,270817,205195,164643,137907,107340,77518,48455,28958,19774,,,,,,,,,,,
SOUTH AFRICA,ZA,GAUTENG,ZA7,SEDIBENG,ZA742,2020,491615,503382,994997,42048,41055,38840,38686,42369,43290,48360,40534,31979,27032,24412,21987,18392,13892,9285,5594,3860,41629,40510,38631,37016,42100,45681,53003,47118,37286,29548,24654,21177,17279,12698,7737,4635,2680,83677,81565,77471,75702,84469,88971,101363,87652,69265,56580,49066,43164,35671,26590,17022,10229,6540,,,,,,,,,,,
SOUTH AFRICA,ZA,GAUTENG,ZA7,WEST RAND,ZA748,2020,403715,453089,856804,35080,33245,31588,28896,34323,40799,44060,35842,28125,22852,19285,15790,12127,9149,6093,3660,2801,35091,32726,30662,28108,37795,44901,52720,46239,37619,32141,25277,18271,12400,8579,5341,3192,2027,70171,65971,62250,57004,72118,85700,96780,82081,65744,54993,44562,34061,24527,17728,11434,6852,4828,,,,,,,,,,,
SOUTH AFRICA,ZA,KWAZULU-NATAL,ZA5,AMAJUBA,ZA525,2020,261190,241541,502731,25994,28901,28312,25265,21745,21374,21426,17010,13016,11204,10711,10298,9223,6672,4871,2958,2210,25550,29104,28611,25828,21061,19388,19612,16901,12105,9621,8392,8043,6665,4776,3023,1645,1216,51544,58005,56923,51093,42806,40762,41038,33911,25121,20825,19103,18341,15888,11448,7894,4603,3426,,,,,,,,,,,
SOUTH AFRICA,ZA,KWAZULU-NATAL,ZA5,ETHEKWINI,ZA595,2020,1813289,1774618,3587907,147660,143751,148103,149840,176076,187029,184347,144946,107640,90534,78385,71051,65680,49705,33313,20172,15057,149357,143885,144977,143475,170083,187748,195388,163352,118115,89575,70382,60744,53888,37770,22742,13903,9234,297017,287636,293080,293315,346159,374777,379735,308298,225755,180109,148767,131795,119568,87475,56055,34075,24291,,,,,,,,,,,
SOUTH AFRICA,ZA,KWAZULU-NATAL,ZA5,ILEMBI,ZA529,2020,329375,307424,636799,34743,34149,33796,31172,28373,29410,28379,22370,16551,14065,12011,10972,11454,8408,6192,3855,3475,35084,34259,34231,30372,25858,26947,27387,23801,16519,12599,9665,8677,8416,5900,3930,2142,1637,69827,68408,68027,61544,54231,56357,55766,46171,33070,26664,21676,19649,19870,14308,10122,5997,5112,,,,,,,,,,,
SOUTH AFRICA,ZA,KWAZULU-NATAL,ZA5,SISONKE,ZA543,2020,238255,208862,447117,26770,28379,27941,24625,18878,17587,17472,14073,11467,9728,8640,8391,7776,6341,4343,3158,2686,27218,28461,27975,24350,16093,14250,14372,12654,9244,7793,6561,5717,5503,3807,2327,1438,1099,53988,56840,55916,48975,34971,31837,31844,26727,20711,17521,15201,14108,13279,10148,6670,4596,3785,,,,,,,,,,,
SOUTH AFRICA,ZA,KWAZULU-NATAL,ZA5,UGO,ZA521,2020,375634,338385,714019,37290,38190,38687,36177,29179,29947,29289,23961,18581,17151,15273,13697,14598,12630,9661,6207,5116,37774,38705,38716,35773,26828,26356,25452,22655,16447,14484,11593,10976,11207,8327,6447,3858,2787,75064,76895,77403,71950,56007,56303,54741,46616,35028,31635,26866,24673,25805,20957,16108,10065,7903,,,,,,,,,,,
SOUTH AFRICA,ZA,KWAZULU-NATAL,ZA5,UMGUNGUNDLOVU,ZA522,2020,541918,504987,1046905,45778,48176,49533,47503,47858,49321,49865,42533,31082,25877,22223,22006,20899,15097,10844,7063,6260,46590,48517,49135,47178,45488,46114,48639,44189,31357,23223,18001,16634,15022,10417,6773,4389,3321,92368,96693,98668,94681,93346,95435,98504,86722,62439,49100,40224,38640,35921,25514,17617,11452,9581,,,,,,,,,,,
SOUTH AFRICA,ZA,KWAZULU-NATAL,ZA5,UMHLABUYALINGANA,ZA527,2020,345959,297359,643318,40722,42987,44473,37615,29246,27484,26149,19931,15518,12782,11238,8929,8256,6370,6051,4134,4074,41401,43445,44411,37433,23597,18914,18047,15534,11757,9984,8060,6758,5905,4209,3695,1990,2219,82123,86432,88884,75048,52843,46398,44196,35465,27275,22766,19298,15687,14161,10579,9746,6124,6293,,,,,,,,,,,
SOUTH AFRICA,ZA,KWAZULU-NATAL,ZA5,UMZINYATHI,ZA524,2020,282209,232252,514461,32307,34669,34738,29450,21336,20282,19924,15976,12388,11610,9591,9866,9553,7581,5698,3364,3876,31910,34698,35009,28943,16115,13634,13776,12237,9428,8015,6214,6335,5963,4402,2751,1470,1352,64217,69367,69747,58393,37451,33916,33700,28213,21816,19625,15805,16201,15516,11983,8449,4834,5228,,,,,,,,,,,
SOUTH AFRICA,ZA,KWAZULU-NATAL,ZA5,UTHUKELA,ZA523,2020,347126,305156,652282,37916,39993,39583,33448,27306,28268,27675,21444,16478,14489,12842,12513,12459,8710,6431,3979,3592,38237,39884,39302,32919,23285,22736,23075,20158,14671,12155,9537,8967,8099,4938,3659,1954,1580,76153,79877,78885,66367,50591,51004,50750,41602,31149,26644,22379,21480,20558,13648,10090,5933,5172,,,,,,,,,,,
SOUTH AFRICA,ZA,KWAZULU-NATAL,ZA5,UTHUNGULU,ZA528,2020,466112,423364,889476,49103,50510,51881,47503,42746,41975,39110,29183,21392,18993,17045,14344,14116,9453,8289,5325,5144,48621,50606,51573,45864,36135,35213,34990,29869,20908,16766,13639,12146,10327,6997,4737,2521,2452,97724,101116,103454,93367,78881,77188,74100,59052,42300,35759,30684,26490,24443,16450,13026,7846,7596,,,,,,,,,,,
SOUTH AFRICA,ZA,KWAZULU-NATAL,ZA5,ZULULAND,ZA526,2020,419221,364575,783796,48805,52544,53194,44543,34985,32616,29526,22448,17673,16228,14426,13825,11958,8583,7820,5084,4963,47966,52089,53040,45061,28982,24544,23040,19415,14404,11962,10646,9696,8412,5855,4549,2577,2337,96771,104633,106234,89604,63967,57160,52566,41863,32077,28190,25072,23521,20370,14438,12369,7661,7300,,,,,,,,,,,
SOUTH AFRICA,ZA,LIMPOPO,ZA9,CAPRICORN,ZA935,2020,683806,611850,1295656,69289,71269,71143,66593,54778,52408,53224,46802,36366,31263,25617,23508,22734,20206,16209,10829,11568,69202,70954,71291,67729,52692,44673,46127,38921,32304,26229,20360,19103,16959,13545,10500,6267,4994,138491,142223,142434,134322,107470,97081,99351,85723,68670,57492,45977,42611,39693,33751,26709,17096,16562,,,,,,,,,,,
SOUTH AFRICA,ZA,LIMPOPO,ZA9,GREATER SEKHUKHUNE,ZA947,2020,602207,523126,1125333,66069,67960,64715,57530,46724,45777,46878,38254,28721,25334,20386,19611,19502,21015,13838,9337,10556,66422,67922,64933,58388,42452,36064,37411,31196,24100,20139,15521,14791,13457,10912,9699,5029,4690,132491,135882,129648,115918,89176,81841,84289,69450,52821,45473,35907,34402,32959,31927,23537,14366,15246,,,,,,,,,,,
SOUTH AFRICA,ZA,LIMPOPO,ZA9,MOPANI,ZA933,2020,572324,490342,1062666,59612,59201,58709,55950,46515,45487,47956,41057,31445,26456,21695,18431,15943,14775,12873,8172,8047,59167,57907,59210,56411,43740,35082,35685,31236,24942,19875,15502,14224,12762,9883,7479,4009,3228,118779,117108,117919,112361,90255,80569,83641,72293,56387,46331,37197,32655,28705,24658,20352,12181,11275,,,,,,,,,,,
SOUTH AFRICA,ZA,LIMPOPO,ZA9,VHEMBE,ZA934,2020,715896,609193,1325089,73802,76488,76517,71498,56462,53936,59282,51070,37400,31156,27180,22669,19595,17449,13364,13414,14614,74244,76095,77872,73744,53439,42355,43543,36596,29478,23929,17798,15359,13671,11045,8971,5487,5567,148046,152583,154389,145242,109901,96291,102825,87666,66878,55085,44978,38028,33266,28494,22335,18901,20181,,,,,,,,,,,
SOUTH AFRICA,ZA,LIMPOPO,ZA9,WATERBERG,ZA936,2020,349272,369241,718513,35742,34415,33241,29580,29058,30465,30581,26430,19342,16544,13566,12335,10947,9623,7909,5044,4450,35567,34380,32934,31217,32009,35374,37911,30718,22618,19298,15283,12231,9889,7556,5979,3517,2760,71309,68795,66175,60797,61067,65839,68492,57148,41960,35842,28849,24566,20836,17179,13888,8561,7210,,,,,,,,,,,
SOUTH AFRICA,ZA,MPUMALANGA,ZA8,EHLANZENI,ZA832,2020,955904,881634,1837538,96027,99554,103710,93750,84642,86890,85792,70773,52467,40760,30933,29824,24093,19535,16352,10535,10267,96637,98258,101891,91698,78171,76128,76931,64935,48496,38654,27169,23790,19849,14880,11582,6449,6116,192664,197812,205601,185448,162813,163018,162723,135708,100963,79414,58102,53614,43942,34415,27934,16984,16383,,,,,,,,,,,
SOUTH AFRICA,ZA,MPUMALANGA,ZA8,GERT SIBANDE,ZA830,2020,568413,567693,1136106,56091,60305,58912,52047,47384,49396,47927,40377,32063,27737,24169,20879,17054,13300,10098,5771,4903,56258,59781,57304,51858,47660,50800,52468,44119,35122,28495,23945,19990,15014,10817,6731,4156,3175,112349,120086,116216,103905,95044,100196,100395,84496,67185,56232,48114,40869,32068,24117,16829,9927,8078,,,,,,,,,,,
SOUTH AFRICA,ZA,MPUMALANGA,ZA8,NKANGALA,ZA831,2020,769732,804105,1573837,72940,72399,70101,64991,64050,69492,70868,60217,46333,39039,33312,29885,25540,20164,14171,8330,7900,72392,72413,69266,64613,68171,76458,81466,69673,55170,45074,36819,31079,24079,16592,10330,5864,4646,145332,144812,139367,129604,132221,145950,152334,129890,101503,84113,70131,60964,49619,36756,24501,14194,12546,,,,,,,,,,,
SOUTH AFRICA,ZA,NORTH WEST,ZA6,BOJANALA,ZA637,2020,825340,961338,1786678,83811,73880,65664,61323,70785,80451,83348,67247,50395,39515,34369,30410,26180,22771,15699,10529,8963,85147,73859,65790,64126,78373,95892,113639,92685,71051,61490,47977,37503,26668,20615,12405,8236,5882,168958,147739,131454,125449,149158,176343,196987,159932,121446,101005,82346,67913,52848,43386,28104,18765,14845,,,,,,,,,,,
SOUTH AFRICA,ZA,NORTH WEST,ZA6,DOCTOR KENNETH KAUNDA,ZA640,2020,372238,382193,754431,34577,34984,32935,28469,30876,31688,34526,29094,23527,19726,17228,15470,13034,10911,7373,4571,3249,35554,35985,33478,29249,29400,30720,35032,32959,27837,23083,18873,15275,12035,9840,6286,4035,2552,70131,70969,66413,57718,60276,62408,69558,62053,51364,42809,36101,30745,25069,20751,13659,8606,5801,,,,,,,,,,,
SOUTH AFRICA,ZA,NORTH WEST,ZA6,DOCTOR RUTH SEGOMOTSI MOMPATI,ZA639,2020,241069,232715,473784,26390,28442,25486,20875,16867,17259,18876,16453,12551,10995,9855,9512,8247,7691,5040,3499,3031,26919,28757,25677,22000,15526,14957,17078,15818,12893,11266,9832,8670,7675,6629,4205,2834,1979,53309,57199,51163,42875,32393,32216,35954,32271,25444,22261,19687,18182,15922,14320,9245,6333,5010,,,,,,,,,,,
SOUTH AFRICA,ZA,NORTH WEST,ZA6,NGAKA MODIRI MOLEMA,ZA638,2020,438554,432417,870971,45496,47112,46634,38674,33016,32545,34617,31789,24945,20673,18481,17019,14527,13149,8899,5785,5193,46964,48155,47516,39730,32062,30345,34535,31020,26461,21670,18589,15661,13087,11188,7319,4640,3475,92460,95267,94150,78404,65078,62890,69152,62809,51406,42343,37070,32680,27614,24337,16218,10425,8668,,,,,,,,,,,
SOUTH AFRICA,ZA,NORTHERN CAPE,ZA3,FRANCIS BAARD,ZA309,2020,213697,206883,420580,19170,20413,20138,17341,16297,18051,20082,16591,13130,10771,9861,8845,7595,6232,4273,2810,2097,19742,20982,19848,17293,15339,16631,19667,16821,13974,11224,9451,7683,6619,4934,3183,2151,1341,38912,41395,39986,34634,31636,34682,39749,33412,27104,21995,19312,16528,14214,11166,7456,4961,3438,,,,,,,,,,,
SOUTH AFRICA,ZA,NORTHERN CAPE,ZA3,JOHN TAOLO GAETSEWE,ZA345,2020,130170,128054,258224,13020,14449,13415,10989,9902,11057,12458,9759,6935,6049,5515,4860,3957,3054,2106,1483,1162,13795,14430,13489,10913,9541,10741,12355,10035,7739,6052,5242,4593,3494,2501,1425,1002,707,26815,28879,26904,21902,19443,21798,24813,19794,14674,12101,10757,9453,7451,5555,3531,2485,1869,,,,,,,,,,,
SOUTH AFRICA,ZA,NORTHERN CAPE,ZA3,NAMAKWA,ZA306,2020,56994,60093,117087,4050,4750,5265,4220,3544,3964,4634,4490,4130,3530,3109,2935,2632,2464,1513,966,798,4343,5222,5401,4665,3555,4001,4914,5064,4791,4144,3336,2989,2538,2200,1451,873,606,8393,9972,10666,8885,7099,7965,9548,9554,8921,7674,6445,5924,5170,4664,2964,1839,1404,,,,,,,,,,,
SOUTH AFRICA,ZA,NORTHERN CAPE,ZA3,PIXLEY KA SEME,ZA307,2020,97933,98398,196331,9103,10657,10286,7800,6639,7115,7911,6768,6006,5098,4679,4428,3894,3095,2116,1313,1025,9204,10617,10225,8014,6409,7088,8209,7628,6785,5646,4592,4096,3555,2849,1674,1133,674,18307,21274,20511,15814,13048,14203,16120,14396,12791,10744,9271,8524,7449,5944,3790,2446,1699,,,,,,,,,,,
SOUTH AFRICA,ZA,NORTHERN CAPE,ZA3,SIYANDA,ZA308,2020,125805,133193,258998,10923,12300,12324,10519,10109,10466,11594,9770,7994,6509,5625,4845,4406,3416,2373,1536,1096,11115,12312,12514,11018,10828,11593,13545,11456,9571,7529,6031,4754,3863,2879,2010,1352,823,22038,24612,24838,21537,20937,22059,25139,21226,17565,14038,11656,9599,8269,6295,4383,2888,1919,,,,,,,,,,,
SOUTH AFRICA,ZA,WESTERN CAPE,ZA1,CAPE WINELANDS,ZA102,2020,453750,455773,909523,36554,37919,39457,37401,39489,38951,40107,37499,33012,26388,22718,19012,15830,12076,8189,5197,3951,37203,37735,38415,36551,38841,38815,41987,40409,36917,29056,22207,17866,14708,10907,6826,4451,2879,73757,75654,77872,73952,78330,77766,82094,77908,69929,55444,44925,36878,30538,22983,15015,9648,6830,,,,,,,,,,,
SOUTH AFRICA,ZA,WESTERN CAPE,ZA1,CENTRAL KAROO,ZA105,2020,38952,38630,77582,3531,3968,4003,2888,2541,2728,3163,3037,2695,2126,2014,1781,1563,1182,859,513,360,3658,3824,3837,2982,2390,2520,3073,3111,2925,2480,2027,1694,1421,1171,764,467,286,7189,7792,7840,5870,4931,5248,6236,6148,5620,4606,4041,3475,2984,2353,1623,980,646,,,,,,,,,,,
SOUTH AFRICA,ZA,WESTERN CAPE,ZA1,CITY OF CAPE TOWN,ZA191,2020,2228850,2207563,4436413,185630,174458,166346,161100,187849,218197,229496,190254,149402,123630,108795,93922,81886,63438,43824,28219,22404,192967,175540,163125,152218,177291,210627,238645,211508,167513,132202,104734,83486,70251,53696,35819,23203,14738,378597,349998,329471,313318,365140,428824,468141,401762,316915,255832,213529,177408,152137,117134,79643,51422,37142,,,,,,,,,,,
SOUTH AFRICA,ZA,WESTERN CAPE,ZA1,EDEN,ZA104,2020,337379,336460,673839,26339,28223,28817,24316,23110,27308,29575,28055,23872,19089,16825,15586,15095,13066,8760,5312,4031,27108,28397,27623,23900,21724,25695,30121,29644,26602,21199,16932,14310,13666,11932,8625,5620,3362,53447,56620,56440,48216,44834,53003,59696,57699,50474,40288,33757,29896,28761,24998,17385,10932,7393,,,,,,,,,,,
SOUTH AFRICA,ZA,WESTERN CAPE,ZA1,OVERBERG,ZA103,2020,148367,155090,303457,11379,11506,11906,10244,10159,12940,13321,12111,10306,8166,7294,6579,7057,6328,4443,2574,2054,11377,11654,11477,9791,10451,13550,14904,14075,12413,9790,7695,6437,6680,6122,4199,2887,1588,22756,23160,23383,20035,20610,26490,28225,26186,22719,17956,14989,13016,13737,12450,8642,5461,3642,,,,,,,,,,,
SOUTH AFRICA,ZA,WESTERN CAPE,ZA1,WEST COAST,ZA101,2020,245723,251762,497485,19732,20600,20710,18300,19571,21400,22138,20587,17935,14224,12450,10655,9298,7508,5016,3213,2386,20223,20415,20037,17599,18630,20822,23060,22760,21268,16758,13254,10914,9262,7357,4678,3094,1631,39955,41015,40747,35899,38201,42222,45198,43347,39203,30982,25704,21569,18560,14865,9694,6307,4017,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
